id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dcdb2-200f-7074-800c-0751c5670fd9,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-04-27T06:48:18Z
019dcdb2-200f-75fa-801b-25ffb9aec091,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-04-27T06:48:18Z
019dcdb2-200f-7c2f-8018-df6d77358575,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-04-27T06:48:18Z
019dcdb2-200f-770f-8002-a9c528ac49fc,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-04-27T06:48:18Z
019dcdb2-200f-7dd0-800c-35de6a7c40de,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-04-27T06:48:18Z
019dcdb2-200f-7ad7-800e-bc6d6e4cbc8f,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-04-27T06:48:18Z
019dcdb2-200f-7bfa-801d-6b740843d9bd,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-04-27T06:48:18Z
019dcdb2-200f-7bcf-800e-5ee609542608,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-04-27T06:48:18Z
019dcdb2-200f-761d-8008-53fc546c140d,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-04-27T06:48:18Z
019dcdb2-200f-727f-801c-9a42606daec3,Miséricorde Eyeghe,female,0.88,45,adult,CG,Republic of the Congo,0.36,2026-04-27T06:48:18Z
019dcdb2-200f-7fe5-801f-ba1c79d9a9f3,Odhiambo Kamau,male,0.7,64,senior,MZ,Mozambique,0.48,2026-04-27T06:48:18Z
019dcdb2-200f-7bf3-8019-45c3222e572f,Zanele Moyo,female,0.9,58,adult,ZA,South Africa,0.6,2026-04-27T06:48:18Z
019dcdb2-200f-7bfd-8012-1ce4f94b9ee0,Paul Sidibé,male,0.75,40,adult,ML,Mali,0.23,2026-04-27T06:48:18Z
019dcdb2-200f-7bab-8009-c8441906f9c9,Tafadzwa Cele,male,0.92,37,adult,ZA,South Africa,0.5,2026-04-27T06:48:18Z
019dcdb2-200f-71c9-800e-5d19286af3a3,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-04-27T06:48:18Z
019dcdb2-200f-7133-8013-841b7056500e,Tanaka Khumalo,male,0.9,24,adult,ZA,South Africa,0.5,2026-04-27T06:48:18Z
019dcdb2-200f-70ce-801c-dd6b1d880682,Thandiwe Dube,female,0.81,15,teenager,AO,Angola,0.52,2026-04-27T06:48:18Z
019dcdb2-200f-736b-8017-79ffdae65be8,Tendai Mwangi,male,0.75,6,child,TZ,Tanzania,0.4,2026-04-27T06:48:18Z
019dcdb2-200f-7cdc-8017-e664f24ca23c,Susan Edwards,female,0.83,54,adult,IN,India,0.42,2026-04-27T06:48:18Z
019dcdb2-200f-7a02-801b-be9af0ba3104,Véronique Mukendi,female,0.77,55,adult,CD,DR Congo,0.24,2026-04-27T06:48:18Z
019dcdb2-200f-7dd2-800b-05e1563a2807,Kevin King,male,0.68,35,adult,FR,France,0.62,2026-04-27T06:48:18Z
019dcdb2-200f-7551-8008-e575d28708c1,Zanele Mnguni,female,0.68,30,adult,KE,Kenya,0.85,2026-04-27T06:48:18Z
019dcdb2-200f-789d-8016-62a99f775386,Tadesse Achieng,male,0.83,34,adult,UG,Uganda,0.49,2026-04-27T06:48:18Z
019dcdb2-200f-7402-8012-3cf1d8b5334f,Rakiya Otieno,female,0.97,14,teenager,KE,Kenya,0.38,2026-04-27T06:48:18Z
019dcdb2-2010-746e-8019-5bc607745a10,Mazvita Ndebele,female,0.76,50,adult,ZM,Zambia,0.91,2026-04-27T06:48:18Z
019dcdb2-2010-75b9-800f-28217a00ed3b,Carol Green,female,0.81,55,adult,GB,United Kingdom,0.65,2026-04-27T06:48:18Z
019dcdb2-2010-7d57-8014-1655c31c7d1b,Kagiso Mohamed,male,0.98,7,child,ER,Eritrea,0.43,2026-04-27T06:48:18Z
019dcdb2-2010-7b95-8006-69594aa4a444,Nomsa Ouma,female,0.94,42,adult,UG,Uganda,0.31,2026-04-27T06:48:18Z
019dcdb2-2010-78c0-8015-d26f0475837d,Sadiya Awino,female,0.7,17,teenager,TZ,Tanzania,0.24,2026-04-27T06:48:18Z
019dcdb2-2010-7d4d-8002-90b79bbd2586,Fortuné Mboumba,male,0.95,17,teenager,GA,Gabon,0.53,2026-04-27T06:48:18Z
019dcdb2-2010-72f3-8002-08b3cafcd2a0,Ayasha Kamau,female,0.82,46,adult,RW,Rwanda,0.68,2026-04-27T06:48:18Z
019dcdb2-2010-72b3-800a-f12bdb3e16c4,Adaeze Coulibaly,female,0.73,41,adult,NG,Nigeria,0.6,2026-04-27T06:48:18Z
019dcdb2-2010-7748-8003-0b9ced930025,Adhiambo Mnguni,female,0.79,83,senior,KE,Kenya,0.47,2026-04-27T06:48:18Z
019dcdb2-2010-7cd7-8014-27161d3a3f06,Maame Kaboré,female,0.8,56,adult,SN,Senegal,0.29,2026-04-27T06:48:18Z
019dcdb2-2010-75b5-800e-60ac22579baa,Rumbidzai Mnguni,female,0.96,32,adult,NA,Namibia,0.26,2026-04-27T06:48:18Z
019dcdb2-2010-74da-8010-6676ef615b79,Généreuse Mboumba,female,0.71,40,adult,CD,DR Congo,0.39,2026-04-27T06:48:18Z
019dcdb2-2010-7e23-8008-e120c99c4279,Bayo Ouédraogo,male,0.99,27,adult,NG,Nigeria,0.81,2026-04-27T06:48:18Z
019dcdb2-2010-799c-8016-7d879b4bed69,Joseph Scott,male,0.83,83,senior,GB,United Kingdom,0.22,2026-04-27T06:48:18Z
019dcdb2-2010-7099-801f-bc9711e42e49,Laila Saidi,female,0.66,52,adult,SD,Sudan,0.57,2026-04-27T06:48:18Z
019dcdb2-2010-74e5-8003-13b1aac92ed7,Sipho Mnguni,male,0.75,60,senior,KE,Kenya,0.35,2026-04-27T06:48:18Z
019dcdb2-2010-7cca-8016-ce0a98903b22,Esi Sawadogo,female,0.68,46,adult,GM,Gambia,0.18,2026-04-27T06:48:18Z
019dcdb2-2010-77a6-8011-996d90333315,Kunle Gbessi,male,0.84,61,senior,CI,Côte d'Ivoire,0.72,2026-04-27T06:48:18Z
019dcdb2-2010-7026-801f-4ff05d3575b4,Nour Rachidi,female,0.78,32,adult,SD,Sudan,0.56,2026-04-27T06:48:18Z
019dcdb2-2010-7179-8000-ee053aa58304,Tesfaye Ahmed,male,0.89,58,adult,MZ,Mozambique,0.88,2026-04-27T06:48:18Z
019dcdb2-2010-72f3-801a-60d3fed0551c,Aster Getachew,female,0.75,41,adult,ET,Ethiopia,0.85,2026-04-27T06:48:18Z
019dcdb2-2010-7453-8016-912b48adbc72,Bilkisu Abebe,female,0.65,24,adult,TZ,Tanzania,0.94,2026-04-27T06:48:18Z
019dcdb2-2010-776e-8006-5712bc37dc60,Walid Hajji,male,0.71,29,adult,MA,Morocco,0.51,2026-04-27T06:48:18Z
019dcdb2-2010-7c93-8009-d7976d511a16,Zodwa Bekele,female,0.81,36,adult,MW,Malawi,0.95,2026-04-27T06:48:18Z
019dcdb2-2010-7946-801f-ac54c9e9ae10,Andrew Thomas,male,0.66,28,adult,BR,Brazil,0.49,2026-04-27T06:48:18Z
019dcdb2-2010-7d92-8005-94cd423e5548,Kunle Zinsou,male,0.73,10,child,ML,Mali,0.94,2026-04-27T06:48:18Z
019dcdb2-2010-72aa-8002-a94a04d0b1a0,Maryam Odhiambo,female,0.67,18,teenager,TZ,Tanzania,0.24,2026-04-27T06:48:18Z
019dcdb2-2010-7b19-801d-4f5393a5477e,Ikram Benali,female,0.69,50,adult,TN,Tunisia,0.24,2026-04-27T06:48:18Z
019dcdb2-2010-76a4-8013-61ef86c90eb0,James Allen,male,0.83,14,teenager,FR,France,0.9,2026-04-27T06:48:18Z
019dcdb2-2010-7bf0-8015-d87162b57c65,Abdi Getachew,male,0.75,74,senior,KE,Kenya,0.21,2026-04-27T06:48:18Z
019dcdb2-2010-7117-801d-070c15e0ae97,Bongiwe Moyo,female,0.88,56,adult,ZA,South Africa,0.21,2026-04-27T06:48:18Z
019dcdb2-2010-7e74-8019-32d0f1bd2424,Thandeka Kamau,female,0.87,49,adult,SO,Somalia,0.93,2026-04-27T06:48:18Z
019dcdb2-2010-7d2b-800d-ed6edd0d91c0,Rokhaya Konaté,female,0.76,17,teenager,NG,Nigeria,0.53,2026-04-27T06:48:18Z
019dcdb2-2010-74dc-801f-219876eaacfe,Nandi Mnguni,female,0.7,28,adult,NA,Namibia,0.59,2026-04-27T06:48:18Z
