id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dcdb2-2010-7e23-8008-e120c99c4279,Bayo Ouédraogo,male,0.99,27,adult,NG,Nigeria,0.81,2026-04-27T06:48:18Z
019dcdb2-22ba-73ff-8019-1dd724a27dc2,Cheikh Agyei,male,0.79,49,adult,NG,Nigeria,0.19,2026-04-27T06:48:18Z
019dcdb2-22ba-706e-8017-e4ad90a82689,Ibrahima Olawale,male,0.71,53,adult,NG,Nigeria,0.48,2026-04-27T06:48:18Z
019dcdb2-22ba-7d28-8012-5e86880a721d,Alexis Camara,male,0.93,20,adult,NG,Nigeria,0.12,2026-04-27T06:48:18Z
019dcdb2-22bb-7145-801e-248b778d3473,Cheikh Zongo,male,0.95,81,senior,NG,Nigeria,0.14,2026-04-27T06:48:18Z
019dcdb2-2460-7f48-801a-3ede70367255,Femi Boateng,male,0.95,27,adult,NG,Nigeria,0.59,2026-04-27T06:48:18Z
019dcdb2-2460-72ba-8000-b0dd24713bd5,Arsène Okonkwo,male,0.78,81,senior,NG,Nigeria,0.63,2026-04-27T06:48:18Z
019dcdb2-25e4-739d-8000-8fc3d471e40f,Oumar Dossou,male,0.83,33,adult,NG,Nigeria,0.66,2026-04-27T06:48:19Z
019dcdb2-2782-7789-8013-f2cc41f58fae,David Amoah,male,0.87,40,adult,NG,Nigeria,0.17,2026-04-27T06:48:19Z
019dcdb2-2939-7e68-8004-679d19475259,Ebo Adeyemi,male,0.91,29,adult,NG,Nigeria,0.58,2026-04-27T06:48:20Z
019dcdb2-293a-79e3-801f-4f999f0ddb3e,Kojo Chukwu,male,0.72,5,child,NG,Nigeria,0.25,2026-04-27T06:48:20Z
019dcdb2-293a-7f32-8008-837db2cde08f,Kwame Tchalla,male,0.76,39,adult,NG,Nigeria,0.43,2026-04-27T06:48:20Z
019dcdb2-293a-7a4b-8012-363a9030054d,Arsène Camara,male,0.88,15,teenager,NG,Nigeria,0.45,2026-04-27T06:48:20Z
019dcdb2-293a-7103-8010-d0a80f31ccc9,Moussa Segla,male,0.8,19,teenager,NG,Nigeria,0.56,2026-04-27T06:48:20Z
019dcdb2-293a-7293-801c-2bf43569cce0,Calixte Compaoré,male,0.98,43,adult,NG,Nigeria,0.84,2026-04-27T06:48:20Z
019dcdb2-2a9d-74a1-8012-b6634108c945,Joseph Chukwu,male,0.93,18,teenager,NG,Nigeria,0.16,2026-04-27T06:48:20Z
019dcdb2-2a9d-7f10-801b-28e7cc730a25,Kojo Eze,male,0.88,24,adult,NG,Nigeria,0.86,2026-04-27T06:48:20Z
019dcdb2-2a9d-7e6e-8017-e77a2181a708,Ade Olawale,male,0.66,36,adult,NG,Nigeria,0.1,2026-04-27T06:48:20Z
019dcdb2-2a9e-7237-8006-de38c8bf2135,Cheikh Konaté,male,0.97,59,adult,NG,Nigeria,0.64,2026-04-27T06:48:20Z
019dcdb2-2dce-73ef-800e-a5fdcc3dbd56,Ebo Gbessi,male,0.66,52,adult,NG,Nigeria,0.86,2026-04-27T06:48:21Z
019dcdb2-2fd3-7c66-800d-3128caa351aa,Ama Agyei,male,0.82,5,child,NG,Nigeria,0.91,2026-04-27T06:48:21Z
019dcdb2-2fd4-7807-8005-012f514844af,Richard Barro,male,0.77,58,adult,NG,Nigeria,0.91,2026-04-27T06:48:21Z
019dcdb2-2fd4-7f40-800c-a32f454ecac8,Tunde Barro,male,0.79,84,senior,NG,Nigeria,0.47,2026-04-27T06:48:21Z
019dcdb2-2fd4-79ab-8017-30e411963cdd,Lamine Kponton,male,0.83,52,adult,NG,Nigeria,0.45,2026-04-27T06:48:21Z
019dcdb2-31cf-7680-800b-0ff3d23014e3,Franck Okafor,male,0.77,73,senior,NG,Nigeria,0.49,2026-04-27T06:48:22Z
019dcdb2-31cf-7402-8007-ce0a57020468,Lamine Dao,male,0.92,51,adult,NG,Nigeria,0.7,2026-04-27T06:48:22Z
019dcdb2-31cf-767e-8017-eb6bcbd05536,Kwame Amoah,male,0.76,26,adult,NG,Nigeria,0.21,2026-04-27T06:48:22Z
019dcdb2-31d0-7ab4-8006-48d10da7735f,Cheikh Owusu,male,0.91,9,child,NG,Nigeria,0.21,2026-04-27T06:48:22Z
019dcdb2-3397-7772-801d-f4be0a72ce07,Samuel Sidibé,male,0.86,68,senior,NG,Nigeria,0.39,2026-04-27T06:48:22Z
019dcdb2-3397-7288-8008-cb72205d87ea,Abdou Nikiéma,male,0.69,21,adult,NG,Nigeria,0.28,2026-04-27T06:48:22Z
019dcdb2-3397-798b-8019-541989d6a2d6,Paul Tapsoba,male,0.8,18,teenager,NG,Nigeria,0.65,2026-04-27T06:48:22Z
019dcdb2-3397-739d-801b-855bd617b7d7,Bayo Diallo,male,0.83,9,child,NG,Nigeria,0.45,2026-04-27T06:48:22Z
019dcdb2-3398-731e-801b-7e86d4e4c26d,Emeka Camara,male,0.85,38,adult,NG,Nigeria,0.6,2026-04-27T06:48:22Z
019dcdb2-3398-7402-800a-592eae1becce,Bayo Antwi,male,0.98,74,senior,NG,Nigeria,0.55,2026-04-27T06:48:22Z
019dcdb2-3399-7262-801f-b1a433037ea4,Kwame Bah,male,0.88,35,adult,NG,Nigeria,0.9,2026-04-27T06:48:22Z
019dcdb2-3399-778e-8007-ef4aae862340,Moussa Okafor,male,0.9,8,child,NG,Nigeria,0.36,2026-04-27T06:48:22Z
019dcdb2-35a9-70cf-8003-11e60cc11e98,Franck Igwe,male,0.98,58,adult,NG,Nigeria,0.44,2026-04-27T06:48:23Z
019dcdb2-3796-70fd-8000-bf6fbdd8d648,Mamadou Barro,male,0.7,21,adult,NG,Nigeria,0.73,2026-04-27T06:48:24Z
019dcdb2-3796-7b91-800a-9cdf6e39b352,Tunde Sow,male,0.86,40,adult,NG,Nigeria,0.52,2026-04-27T06:48:24Z
019dcdb2-3796-7592-801c-06cf2d9af1cf,Didier Barro,male,0.96,79,senior,NG,Nigeria,0.91,2026-04-27T06:48:24Z
019dcdb2-3a27-7431-8013-3a55b2b4fb60,Kunle Hounsou,male,0.96,29,adult,NG,Nigeria,0.22,2026-04-27T06:48:24Z
019dcdb2-3a28-71f6-800e-4819404722b0,Tunde Sawadogo,male,0.95,16,teenager,NG,Nigeria,0.37,2026-04-27T06:48:24Z
019dcdb2-3cf9-7e00-8000-c6eca0791ab1,Kojo Camara,male,0.71,12,child,NG,Nigeria,0.1,2026-04-27T06:48:25Z
019dcdb2-3cfa-7139-800b-c809f75a8459,Joseph Asante,male,0.75,48,adult,NG,Nigeria,0.79,2026-04-27T06:48:25Z
019dcdb2-3cfb-70b1-800e-cbd6545d7fae,Ade Okafor,male,0.69,44,adult,NG,Nigeria,0.76,2026-04-27T06:48:25Z
019dcdb2-3ed5-71d7-801b-49f1f3d133db,Fiifi Tchalla,male,0.97,27,adult,NG,Nigeria,0.81,2026-04-27T06:48:25Z
019dcdb2-3ed6-7a6f-8010-31bd116dd0ff,Ebo Keïta,male,0.98,50,adult,NG,Nigeria,0.36,2026-04-27T06:48:25Z
019dcdb2-3ed6-74eb-800d-069abad4a4f8,Fiifi Adeyemi,male,0.91,32,adult,NG,Nigeria,0.25,2026-04-27T06:48:25Z
019dcdb2-3ed6-70d7-8006-dd29a470384f,Fiifi Okafor,male,0.85,28,adult,NG,Nigeria,0.31,2026-04-27T06:48:25Z
019dcdb2-407d-75d6-801b-17f1be8856e5,Richard Zinsou,male,0.8,53,adult,NG,Nigeria,0.52,2026-04-27T06:48:26Z
019dcdb2-407e-7afd-800d-2a0e40b3940a,Ama Gbagbo,male,0.79,40,adult,NG,Nigeria,0.45,2026-04-27T06:48:26Z
019dcdb2-407e-7019-800a-49aaa8ac0e47,Chidi Igwe,male,0.86,19,teenager,NG,Nigeria,0.95,2026-04-27T06:48:26Z
019dcdb2-4255-7a17-8011-2b4e77e0ee81,Femi Nikiéma,male,0.79,30,adult,NG,Nigeria,0.43,2026-04-27T06:48:26Z
019dcdb2-4255-739e-8016-b988015eebef,Kwame Zongo,male,0.94,15,teenager,NG,Nigeria,0.22,2026-04-27T06:48:26Z
019dcdb2-4255-72a6-8018-6e113a8d16b4,Daniel Kaboré,male,0.76,36,adult,NG,Nigeria,0.1,2026-04-27T06:48:26Z
019dcdb2-4256-77f8-800e-69ca7300a674,Dele Dao,male,0.83,70,senior,NG,Nigeria,0.4,2026-04-27T06:48:26Z
019dcdb2-43f8-7cdf-801b-5cd24172b936,David Compaoré,male,0.77,65,senior,NG,Nigeria,0.15,2026-04-27T06:48:27Z
019dcdb2-43f8-7661-801b-aab9131275b2,Daniel Chukwu,male,0.71,60,senior,NG,Nigeria,0.23,2026-04-27T06:48:27Z
019dcdb2-43fa-7ad1-8000-595f3fae88cc,Emmanuel Touré,male,0.71,38,adult,NG,Nigeria,0.51,2026-04-27T06:48:27Z
019dcdb2-458b-7977-801b-416c883c22fb,Richard Camara,male,0.87,31,adult,NG,Nigeria,0.7,2026-04-27T06:48:27Z
